ID,Name,Position,ADP,Team
1116817,Emari Demercado,RB,221.78568,KC
1313668,Brashard Smith,RB,222.83887,KC
973964,Najee Harris,RB,223.03735,FA
973945,Mac Jones,QB,223.31151,SF
1322431,Keon Coleman,WR,223.69778,BUF
403308,Kirk Cousins,QB,223.7261,FA
1390910,Demond Claiborne,RB,224.36296,FA
1333868,Quinn Ewers,QB,224.4211,MIA
1458888,Ja'Kobi Lane,WR,225.03813,FA
1378898,Jaydon Blue,RB,225.12099,DAL
1066424,Jalen Tolbert,WR,225.30904,MIA
1059612,Joshua Palmer,WR,225.4211,BUF
1227157,Kyle Williams,WR,225.58917,NE
1110301,Tyquan Thornton,WR,225.6209,KC
1377766,Ollie Gordon II,RB,225.6413,MIA
557210,Keenan Allen,WR,225.7575,FA
1277914,Devontez Walker,WR,225.875,BAL
1317230,Roman Hemby,RB,225.96153,FA
828743,Deshaun Watson,QB,225.99449,CLE
1378840,LeQuint Allen Jr.,RB,226.3374,JAX
1215022,Anthony Richardson Sr.,QB,226.3438,IND
1339352,Jeff Caldwell,WR,226.4194,FA
1108208,Rashod Bateman,WR,226.61266,BAL
1214837,Tez Johnson,WR,226.63826,TB
1164846,Luke McCaffrey,WR,226.6875,WAS
607843,Marcus Mariota,QB,226.8235,WAS
1213636,Xavier Hutchinson,WR,226.9333,HOU
1381902,Kaleb Johnson,RB,227,PIT
746613,Kareem Hunt,RB,227.02272,FA
1402713,Le'Veon Moss,RB,227.0556,FA
1286513,Jaylen Wright,RB,227.18547,MIA
604176,Tyler Higbee,TE,227.3154,LAR
1290165,Riley Leonard,QB,227.3333,IND
1128085,Greg Dulcich,TE,227.35901,MIA
1180321,Xavier Legette,WR,227.3846,CAR
1172428,Dontayvion Wicks,WR,227.3987,GB
600191,Darren Waller,TE,227.50742,FA
692660,Kalif Raymond,WR,227.6232,CHI
836152,Mike Gesicki,TE,227.67505,CIN
1321291,Audric Estime,RB,227.7667,NO
727279,Demarcus Robinson,WR,227.81671,SF
1124851,Andrei Iosivas,WR,227.86668,CIN
1399132,Brenen Thompson,WR,227.9091,FA
1062765,Calvin Austin III,WR,228.1496,NYG
1213414,MarShawn Lloyd,RB,228.1647,GB
496083,Derek Carr,QB,228.1818,FA
1160348,John Metchie III,WR,228.2115,CAR
1286046,Jack Bech,WR,228.2456,LV
1215772,Kaelon Black,RB,228.2571,FA
1325016,Bryce Lance,WR,228.4143,FA
1398503,Isaiah Bond,WR,228.5152,CLE
1303569,DJ Giddens,RB,228.6042,IND
1126338,Isaac Guerendo,RB,228.60715,SF
749185,Evan Engram,TE,228.72974,DEN
1286370,Jaylin Noel,WR,228.8923,HOU
1400657,Jordan James,RB,228.96587,SF
1394803,Trevor Etienne,RB,229,CAR
1214689,Jaylin Lane,WR,229.09091,WAS
503177,Zach Ertz,TE,229.1071,FA
1228920,Ben Sinnott,TE,229.2973,WAS
923109,Justice Hill,RB,229.37624,BAL
1378284,Adam Randall,RB,229.43523,FA
1378156,Sam Roush,TE,229.46664,FA
1401683,Max Klare,TE,229.5205,FA
1218658,Darnell Washington,TE,229.55324,PIT
884083,Dawson Knox,TE,229.6271,BUF
1058648,Charlie Kolar,TE,229.6667,LAC
880557,Darius Slayton,WR,229.78195,NYG
1172024,Treylon Burks,WR,229.78944,WAS
1405928,Justin Joly,TE,229.90002,FA
1319589,Malachi Fields,WR,229.9238,FA
877784,Ty Johnson,RB,229.9592,BUF
1389700,Chris Bell,WR,230.03297,FA
1121878,Jahan Dotson,WR,230.17947,ATL
1521285,Ted Hurst,WR,230.27539,FA
1326628,Ja'Tavion Sanders,TE,230.7308,CAR
1325234,Skyler Bell,WR,231.186,FA
1324856,Eric McAlister,WR,231.2727,FA
1232592,Michael Mayer,TE,231.3514,LV
1286840,Elijah Arroyo,TE,231.5,SEA
1127065,Chris Brooks,RB,231.5745,GB
754412,Kendrick Bourne,WR,231.8333,ARI
1066765,Cole Kmet,TE,231.8478,CHI
1323708,Michael Trigg,TE,231.8636,FA
1213794,Seth McGowan,RB,231.9286,FA
1271609,Isaiah Davis,RB,232,NYJ
1106760,Tutu Atwell,WR,232.10002,MIA
1125737,Jerome Ford,RB,232.46663,WAS
865958,KaVontae Turpin,WR,232.625,DAL
1465213,Jahdae Walker,WR,232.66667,CHI
1286164,Dont'e Thornton Jr.,WR,232.6842,LV
1403491,Jalen Royals,WR,232.7143,KC
975028,Malik Davis,RB,232.7692,DAL
883976,Olamide Zaccheaus,WR,233.3571,FA
1164533,Erick All Jr.,TE,233.3636,CIN
1175693,DeMario Douglas,WR,233.375,NE
743749,Jonnu Smith,TE,233.381,FA
1378290,Antonio Williams,WR,233.5667,FA
1124664,Cedric Tillman,WR,234,CLE
